,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year;
166489,10921,0.18100000000000002,['Three 6 Mafia'],0.809,102427,0.929,1,5sIcDnAIXflFSBINLjX6nU,0.0,6,0.0594,-1.8130000000000002,1,44 Killers,34,2000-06-13,0.18100000000000002,150.899,0.821,2000;
166490,10922,0.135,['Donnie McClurkin'],0.605,451427,0.784,0,44Qy7mThAvZf63Xi3MdSUA,0.0,5,0.8390000000000001,-5.7010000000000005,1,Caribbean Medley,37,2000-08-17,0.094,80.992,0.565,2000;
"166491,10923,0.00126,['The Hives'],0.315,166173,0.971,0,4UGaLfwKFZNlB594K6ucxA,0.000296,0,0.0735,-5.0760000000000005,1,""Die, All Right!"",34,2000,0.0989,88.682,0.728,2000";
166492,10924,0.8809999999999999,['John Prine'],0.469,297173,0.161,0,0rXCeTgjXDJOwWnPA591Tt,0.00322,9,0.133,-17.632,1,Hello in There,35,2000-10-31,0.0319,134.92700000000002,0.184,2000;
"166493,10925,0.841,""['Terry Gilkyson', 'Anders Soldh', 'Gävle Symphony Orchestra', 'Alexander Hanson']"",0.44299999999999995,209120,0.23199999999999998,0,1nAypwe9QgBWBCvgqDh8WN,0.584,7,0.0494,-19.379,1,The Jungle Book: The Bare Necessities (arr. for orchestra),37,2000-01-01,0.0421,97.22399999999999,0.325,2000";
"166494,10926,0.0291,['Elton John'],0.638,262027,0.8759999999999999,0,3ScTaxssPMiRO61W9vkafW,2.1e-05,0,0.129,-6.2010000000000005,1,""El Dorado - From """"The Road To El Dorado"""" Soundtrack"",39,2000-01-01,0.0316,101.913,0.449,2000";
"166495,10927,0.6940000000000001,""['Christina Aguilera', 'Luis Fonsi']"",0.48700000000000004,289200,0.5579999999999999,0,2tN1wKPCuQ6xO2sBTQDf1t,0.0,5,0.131,-5.604,1,Si No Te Hubiera Conocido,48,2000,0.0275,81.93799999999997,0.321,2000";
166496,10928,0.772,['Billy Stewart'],0.552,183907,0.601,0,4shFFsEAF1j6RcI42EeNS8,0.000375,2,0.16,-8.828,1,Cross My Heart - Single Version,33,2000-01-01,0.0272,76.831,0.5670000000000001,2000;
166497,10929,0.68,['Corey Smith'],0.634,233293,0.365,0,2SxI0tLSEEMPTF3FEy05MP,0.000153,4,0.0941,-10.311,1,It's Over,33,2000-10-10,0.0389,149.942,0.512,2000;
166498,10930,0.11900000000000001,['Bell Biv DeVoe'],0.725,272533,0.7829999999999999,0,6pNvKPvOknI5zI4o9TB43f,2.18e-06,10,0.354,-6.138999999999999,0,Do Me!,33,2000-01-01,0.037000000000000005,107.82,0.693,2000;
166499,10931,0.239,['Kylie Minogue'],0.474,211347,0.872,0,7zaOQVHSOW3mt8T5rafz5B,7.1e-06,4,0.24100000000000002,-4.931,0,Your Disco Needs You,39,2000-07-10,0.109,126.057,0.48100000000000004,2000;
166500,10932,0.0589,['Five For Fighting'],0.529,220773,0.47100000000000003,0,1GVj2x3lXqvK4TaYF41rxc,0.0,0,0.0567,-7.586,1,Superman (It's Not Easy),40,2000-09-29,0.0267,107.464,0.17,2000;
166501,10933,0.9329999999999999,['PowerThoughts Meditation Club'],0.0717,1873000,0.00747,0,3u5F0rRVxogNkGhu27bM3y,0.966,5,0.10400000000000001,-28.570999999999998,1,432Hz Miracle Tone: Rainy Days,41,2000,0.057,176.73,0.0365,2000;
166502,10934,0.24,['Hoku'],0.688,232067,0.94,0,0RhkktMnJyR08vMnE34epK,0.0,1,0.08,-4.7589999999999995,1,Another Dumb Blonde,33,2000-01-01,0.0843,123.906,0.551,2000;
"166503,10935,0.37799999999999995,""['Big Pun', 'Prospect']"",0.677,246267,0.778,0,2RK0TZJ3Jw8nFKhMH5n2fH,0.0,2,0.14,-4.886,1,Off Wit His Head (featuring Prospect) - Explict,36,2000-03-01,0.15,92.038,0.4,2000";
166504,10936,0.00303,['U2'],0.5660000000000001,224693,0.7490000000000001,0,3OXJIOnAOSPZqonBAIDC7a,1.27e-05,7,0.132,-7.255,1,Wild Honey,34,2000-01-01,0.027999999999999997,125.137,0.521,2000;
166505,10937,0.0341,['Aesop Rock'],0.629,180427,0.669,0,5lBjKm0YbgCQdKRcvDzPAJ,5.7999999999999994e-05,7,0.132,-8.68,1,I'll Be Ok (feat. Slug),35,2000-09-05,0.384,171.892,0.757,2000;
166506,10938,0.83,['Rage Against The Machine'],0.556,154573,0.22699999999999998,0,6DTSCjeK32PYp1Sap27vvY,0.00504,9,0.114,-17.461,0,Beautiful World,40,2000-12-05,0.0396,84.38799999999998,0.0348,2000;
166507,10939,0.884,['David Bauer'],0.509,285600,0.114,0,6f3hS7nhvveOJy8iLZWNud,0.909,0,0.12,-17.524,1,You Deserve the Glory,41,2000,0.0324,115.994,0.0736,2000;
166508,10940,9.41e-05,['Doves'],0.379,351653,0.753,0,7IJsXawsFrWU7KC4Kr7lQy,0.40399999999999997,11,0.11199999999999999,-8.508,0,Darker,42,2000,0.0311,94.713,0.156,2000;
166509,10941,0.435,['Queens of the Stone Age'],0.384,520173,0.4970000000000001,0,0MUXUGM0qh4lqWWQ9vvytv,0.561,10,0.526,-5.185,1,I Think I Lost My Headache,35,2000-06-06,0.0345,102.697,0.47200000000000003,2000;
166510,10942,0.046,['Los Cafres'],0.787,228000,0.401,0,1b8V0hvwAP8dO4xxrvvoXK,3.3799999999999995e-05,7,0.0601,-13.478,1,De Mi Mente,51,2000-09-02,0.262,165.862,0.708,2000;
166511,10943,0.755,['Bonobo'],0.644,318600,0.4320000000000001,0,5ilUK78Mc8Z7MXvVy3jTmw,0.718,10,0.273,-10.91,0,The Plug,34,2000-07-25,0.0363,87.029,0.0863,2000;
"166512,10944,0.146,""['A Touch Of Class', 'Pete Konemann']"",0.619,214533,0.9740000000000001,0,0IbTukfZdB91gclEXUQZkH,0.00162,9,0.132,-7.039,0,Around the World (La La La La La) - Radio Version,62,2000-11-22,0.0277,131.963,0.701,2000";
166513,10945,0.86,['Domenico Modugno'],0.634,207867,0.111,0,0rHIXD2GmjixirvBfTUV2b,0.0,10,0.125,-19.079,1,Vecchio frack,44,2000-06-15,0.0736,133.338,0.24600000000000002,2000;
166514,10946,0.0228,['Snoop Dogg'],0.66,254166,0.76,0,5hHCQ0jbaBDiE5fIKzYf7W,0.0,7,0.32,-4.712,1,Wrong Idea,36,2000,0.289,98.64200000000001,0.612,2000;
166515,10947,0.00224,['3 Doors Down'],0.461,196400,0.9490000000000001,0,6q61Aa2HZkqLW5zFrij5ZK,0.0935,10,0.21100000000000002,-4.7010000000000005,1,By My Side,37,2000,0.0779,142.976,0.5,2000;
166516,10948,0.769,['Fish Leong'],0.638,239293,0.363,0,1SNF1IdMuKPDhw9HTrdcvM,0.0,5,0.0932,-9.366,1,勇氣,47,2000-08-02,0.0289,115.802,0.217,2000;
166517,10949,0.209,['Barney'],0.826,145600,0.324,0,1iX4plCwII7rp50u9F5GCC,0.0,0,0.17800000000000002,-12.683,1,The Ants Go Marching,34,2000-01-01,0.061,123.98299999999999,0.447,2000;
166518,10950,0.43799999999999994,['4Him'],0.258,260773,0.382,0,2piwgNxJiDExC7mDzA8NO9,0.00472,10,0.138,-9.31,1,Be Thou My Vision,37,2000,0.0289,89.921,0.174,2000;
166519,10951,0.000399,['Incubus'],0.6,285667,0.88,0,50cdKsRctbMBA2uHoqdQYN,0.0167,9,0.151,-5.438,1,Crowded Elevator,38,2000-08-22,0.0387,126.148,0.444,2000;
166520,10952,0.0298,['Joe'],0.736,251600,0.518,0,6ULFbCM2KhUgHDNzbR8DZx,8.17e-06,5,0.15,-5.664,0,Somebody Gotta Be On Top,36,2000-04-18,0.0373,118.008,0.299,2000;
166521,10953,0.7240000000000001,['John Prine'],0.488,226293,0.217,0,6xMIOFYN7OcKeRRJlWcUVX,9.87e-06,2,0.175,-13.12,1,The Late John Garfield Blues,35,2000-10-31,0.0305,138.112,0.35,2000;
166522,10954,0.23600000000000002,['Melina Leon'],0.47200000000000003,295600,0.456,0,5eNnzVKC2F17eTUqh4xxIK,0.0,9,0.168,-9.521,1,Cuando una Mujer - Balada,40,2000-05-02,0.0325,79.997,0.198,2000;
166523,10955,0.255,['Julio Iglesias'],0.505,288933,0.637,0,6PWaW18BZcY7P1LGd82Dky,0.0,9,0.11900000000000001,-6.483,0,Corazón Partío,33,2000-06-20,0.0711,79.42399999999998,0.462,2000;
166524,10956,0.0976,['The Avalanches'],0.6809999999999999,235333,0.909,0,7bCmSFlmcCBXeLWgfFP02W,0.000674,10,0.8759999999999999,-7.984,0,Close To You,36,2000-01-01,0.0624,111.89399999999999,0.5539999999999999,2000;
166525,10957,0.0387,['Nelly'],0.8290000000000001,255733,0.81,1,7gYkDZ3CYq9KO0aZMrAFrY,0.0,0,0.317,-5.484,1,Wrap Sumden,35,2000-06-27,0.0762,99.32600000000001,0.905,2000;
166526,10958,0.000389,['Mudvayne'],0.537,389227,0.878,0,2IIXuRuxo5uZSENXWGNsVr,0.00215,11,0.439,-4.944,0,Severed,36,2000-08-13,0.0755,144.005,0.26899999999999996,2000;
166527,10959,0.764,['Laura Nyro'],0.384,227000,0.44299999999999995,0,2oV3mzorzJTZa3gmp8vAJl,0.0,5,0.106,-7.75,1,Stoned Soul Picnic,39,2000-10-02,0.0379,175.671,0.7120000000000001,2000;
166528,10960,0.32899999999999996,['Panchiko'],0.309,251272,0.861,0,4CR1tZe88WLril62RqNu42,0.000901,7,0.358,-4.935,1,Kicking Cars,38,2000-12-05,0.0653,83.829,0.364,2000;
166529,10961,0.9490000000000001,['David Bauer'],0.524,209667,0.0993,0,4lXYhEw3pvzVFf37Ymw2XD,0.9309999999999999,9,0.11699999999999999,-26.463,1,Great is the Lord,40,2000,0.0356,131.931,0.145,2000;
166530,10962,0.01,['Green Day'],0.723,176800,0.917,0,2RuiaukH9sPQj9GgvIoNeP,0.0,7,0.10300000000000001,-2.388,1,Hold On,40,2000-10-03,0.0286,135.942,0.857,2000;
166531,10963,0.11699999999999999,['Slobberbone'],0.608,276627,0.7959999999999999,0,3X2stgfjH1I30FMLHzFWJI,0.0,3,0.245,-8.206,1,Pinball Song,35,2000-07-25,0.109,133.222,0.684,2000;
166532,10964,0.17,['Elvis Martinez'],0.9279999999999999,213200,0.55,0,6MgyVKOthGKQLAXCcM6hEM,0.0,11,0.0267,-6.732,0,Lo Doy Todo Por Ti,38,2000-05-01,0.0477,129.703,0.927,2000;
"166533,10965,0.0298,""['Snoop Dogg', 'Kokane']"",0.8059999999999999,255627,0.61,1,76gJ7ATRkD3WZuYKPl84xm,0.0,9,0.0399,-5.909,1,Y'All Gone Miss Me,43,2000,0.18600000000000005,91.05799999999999,0.48200000000000004,2000";
166534,10966,0.647,['Barney'],0.7040000000000001,144800,0.517,0,7JFF9EZMJimcNCIvJwWBQJ,0.0,11,0.19899999999999998,-10.651,1,And The Green Grass Grows All Around,34,2000-01-01,0.122,171.264,0.899,2000;
166535,10967,0.38,['Barney'],0.727,85533,0.5579999999999999,0,2MJRG8J6MwzYeag4be0oys,9.11e-06,2,0.276,-9.227,0,The Rainbow Song,34,2000-01-01,0.0367,79.9,0.345,2000;
166536,10968,0.0329,['Mindless Self Indulgence'],0.71,114613,0.685,1,3zI4ubY6i1qHm1ELxxO6lS,0.00035099999999999997,1,0.214,-9.57,1,I'm Your Problem Now,37,2000-02-11,0.171,112.898,0.39799999999999996,2000;
166537,10969,0.13699999999999998,['Plus One'],0.555,236800,0.43,0,3wr4VlVaot0KEPL5W3XnEb,0.0,4,0.384,-6.5829999999999975,1,Last Flight Out,51,2000-05-12,0.0243,78.006,0.223,2000;
166538,10970,0.807,['Jesse Cook'],0.534,246782,0.5479999999999999,0,6gwUXJJkTEj1rXm5Fks0Jr,0.763,8,0.153,-13.470999999999998,0,Virtue,40,2000-01-01,0.0334,154.94299999999996,0.368,2000;
166539,10971,0.0521,['Cypress Hill'],0.919,293560,0.833,1,7ivM5ILtz3k5Z6sRjXu0v2,1.42e-06,10,0.106,-5.7410000000000005,0,(Rap) Superstar,42,2000-04-25,0.304,94.21600000000001,0.32899999999999996,2000;
"166540,10972,0.008140000000000001,""[""""Lil' Zane""""]"",0.782,257307,0.675,1,0io6VQqmCT8Yz1faAqBUFh,0.0,8,0.0978,-5.096,0,Callin' Me,39,2000-01-01,0.0706,106.956,0.6629999999999999,2000";
"166541,10973,0.0666,['Barenaked Ladies'],0.688,155507,0.5670000000000001,0,2LD87aKtWVSmzaEc4rVWkK,0.0,2,0.168,-7.746,1,""Green Christmas - From """"Dr. Seuss' How The Grinch Stole Christmas"""" Soundtrack"",35,2000-01-01,0.0281,120.228,0.634,2000";
166542,10974,0.9440000000000001,['Air'],0.46299999999999997,161500,0.188,0,366QpkppDb9f5TVamPSpgH,0.973,1,0.23399999999999999,-14.995,0,Highschool Lover,44,2000-02-25,0.0296,130.061,0.0504,2000;
166543,10975,0.342,['Backstreet Boys'],0.6459999999999999,262933,0.531,0,3Bf9g7reIFWoQBmlHpA6MN,0.0,4,0.132,-6.626,1,I Promise You (With Everything I Am),43,2000-11-21,0.0265,130.009,0.187,2000;
"166544,10976,0.073,""['JAY-Z', 'Memphis Bleek', """"Lil' Mo"""", 'Beanie Sigel']"",0.835,255133,0.539,1,4krUQUY3XIv3nX9c3Xw7Ld,0.0,1,0.0568,-4.7010000000000005,0,Parking Lot Pimpin',35,2000-10-31,0.322,90.23200000000001,0.778,2000";
166545,10977,0.3670000000000001,['Yusuf / Cat Stevens'],0.484,200573,0.509,0,4unVGHGz7jg12vaahoFyMB,0.000675,0,0.11199999999999999,-9.412,1,Wild World,34,2000-01-01,0.0358,151.939,0.5479999999999999,2000;
"166546,10978,0.0219,""['JAY-Z', 'Beanie Sigel']"",0.7909999999999999,333600,0.596,1,5jXaJIBwA5SCnHOc18fAFk,0.000242,4,0.133,-5.675,0,Where Have You Been,35,2000-10-31,0.366,81.546,0.574,2000";
166547,10979,0.8109999999999999,['Thomas Newman'],0.813,198360,0.331,0,5uuZI0l5SMRMAIVzPl1xgU,0.851,7,0.136,-11.152000000000001,0,Dead Already,48,2000-01-11,0.048,128.003,0.239,2000;
"166548,10980,0.0879,""['Westlife', 'Steve Mac']"",0.504,230400,0.535,0,3W2QKq6ks7QInnM9j4pOBt,0.0,11,0.239,-6.183,1,What Makes a Man,55,2000,0.0276,137.019,0.326,2000";
166549,10981,0.2,['Dzihan & Kamien'],0.737,437013,0.531,0,4e9wcQjrY8PJPDvUg2Kt0W,0.8759999999999999,11,0.0623,-11.064,0,Homebase,45,2000-05-08,0.0495,101.995,0.2,2000;
166550,10982,0.075,['John Anderson'],0.6709999999999999,286760,0.561,0,5hBg1gomozSsQJlnsL9GKO,1.6e-05,8,0.254,-7.5829999999999975,1,Atlantic City,33,2000-03-27,0.0257,99.225,0.8590000000000001,2000;
166551,10983,0.0618,['Los Amigos Invisibles'],0.71,239613,0.659,0,75NBuHx7ad04FAXKsoEbrg,0.0235,5,0.0945,-8.39,1,Qué Rico,49,2000,0.0334,128.034,0.922,2000;
166552,10984,0.191,['Leonardo Favio'],0.59,195800,0.523,0,7Ink0gLYbevN5BQ91l5XnR,4.02e-06,5,0.27899999999999997,-12.285,0,O Quizás Simplemente Le Regale una Rosa,33,2000-03-28,0.0696,114.62,0.632,2000;
"166553,10985,0.833,""['Elton John', 'Anders Soldh', 'Gävle Symphony Orchestra', 'Alexander Hanson']"",0.16699999999999998,256133,0.146,0,6UxMFrDHJcnfysjISShWen,0.88,7,0.17,-19.191,1,The Lion King: Can You Feel the Love Tonight (arr. for orchestra),38,2000-01-01,0.0391,129.789,0.132,2000";
"166554,10986,0.0369,""['Funkmaster Flex', 'Big Kap', 'LL Cool J']"",0.7140000000000001,241627,0.887,1,7e3YBmI6nHIvx2tevyLdeV,0.11,7,0.0503,-5.419,1,Ill Bomb,37,2000-09-05,0.294,96.155,0.87,2000";
166555,10987,0.00607,['Timmy and The Lords Of The Underworld'],0.489,140827,0.7929999999999999,0,02zt5wF6cfvN5IOU1wMSQU,0.0,8,0.0585,-2.7739999999999996,1,Timmy and The Lords Of The Underworld,33,2000-09-05,0.182,146.935,0.508,2000;
166556,10988,0.544,['Lemon Jelly'],0.691,401333,0.522,0,2RutVE1bxmy90AeXrnq4Ov,0.912,10,0.109,-9.969,0,In the Bath,44,2000-10-23,0.0286,113.001,0.256,2000;
166557,10989,0.5529999999999999,['Vicente Fernández'],0.6659999999999999,147693,0.486,0,2tICgKCcfgufj9vtfwJ63m,0.0,2,0.263,-5.834,1,Borracho Te Recuerdo,41,2000-03-24,0.0356,115.869,0.841,2000;
166558,10990,0.41200000000000003,['Euge Groove'],0.688,304400,0.731,0,2uc5qiIZZPPFpNaQn3M54w,0.4320000000000001,5,0.11199999999999999,-8.297,0,Sneak a Peek,35,2000-04-18,0.0754,167.153,0.774,2000;
166559,10991,0.368,['Ruff Endz'],0.627,266867,0.405,0,7wAgTBeRZeMpQxftFYOgRq,0.0,10,0.0972,-7.189,1,If I Was the One,38,2000-08-22,0.0335,111.83200000000001,0.298,2000;
166560,10992,4.18e-05,['Finger Eleven'],0.37,266400,0.8759999999999999,0,0tpHuAqLg4NQXPSpxdEUPe,1.73e-06,8,0.7709999999999999,-5.627999999999999,1,First Time,37,2000-01-01,0.14,166.03799999999995,0.304,2000;
166561,10993,0.133,['Jo Dee Messina'],0.43,281427,0.708,0,1ALL0q76OjQeBvkLmD3Tbo,0.0,7,0.23800000000000002,-6.803999999999999,1,Burn,34,2000-08-01,0.0351,173.706,0.35600000000000004,2000;
"166562,10994,0.11800000000000001,""['Kumar Sanu', 'Udit Narayan', 'Alka Yagnik', 'Kavita Krishnamurthy']"",0.774,346720,0.934,0,2oVJZVH1hlxP3MxyDFRSEb,0.0028399999999999996,5,0.0897,-6.4220000000000015,1,Neend Churayee Meri,52,2000-08-03,0.0516,105.96799999999999,0.882,2000";
166563,10995,0.121,['Willie K'],0.737,291627,0.654,0,5wl79rbPFUq2C9HJU0rT4Y,2.68e-05,9,0.36,-7.619,1,Good Morning,33,2000-02-29,0.046,82.095,0.613,2000;
166564,10996,0.124,['Travis Tritt'],0.6729999999999999,206027,0.9,0,6wMrCa8tIUwjJW4uJxiIm5,0.0,4,0.284,-3.88,0,Down The Road I Go,35,2000-10-01,0.0866,108.46600000000001,0.633,2000;
166565,10997,0.0204,['The Avalanches'],0.599,262853,0.7,0,0gf5aDrh0wyGy5vQo0HlIK,0.444,7,0.9109999999999999,-7.9510000000000005,0,A Different Feeling,36,2000-01-01,0.0468,110.93799999999999,0.34299999999999997,2000;
166566,10998,0.665,['Matchbox Twenty'],0.499,227130,0.875,0,13UZOsQ9Z7rR4Cvzq0hflI,0.0877,5,0.17,-8.177,0,Never Going Back Again,37,2000-05-23,0.0435,75.153,0.746,2000;
166567,10999,0.0435,['Lara Fabian'],0.643,223040,0.757,0,1raT3L0NJtc10t7xNgHJZ1,1.35e-06,9,0.0883,-8.031,0,I Will Love Again,51,2000-05-26,0.0347,126.975,0.47100000000000003,2000;
